what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1358538333155
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1358538333187
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1358538333187
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1358538333187
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1358538333187
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1358538333187
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1358538333187
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1358538333187
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1358538333187
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1358538333187
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1358538333187
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1358538333187
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1358538333187
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1358538333249
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1358538333249
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1358538333249
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1358538333249
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1358538333296
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1358538333296
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1358538333296
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1358538333296
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1358538333296
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1358538333296
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1358538333296
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1358538333296
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1358538333296
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1358538333296
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1358538333327
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1358538333499
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1358538333499
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1358538333499
os,sysinfo,,,"win32",1358538333499
arch,sysinfo,,,"x86",1358538333499
ws,sysinfo,,,"win32",1358538333499
locale,sysinfo,,,"en_US",1358538333499
processors,sysinfo,,,"4",1358538333499
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358538333499
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1358538333499
java.specification.name,sysinfo,,,"Java Platform API Specification",1358538333499
java.specification.vendor,sysinfo,,,"Oracle Corporation",1358538333499
java.specification.version,sysinfo,,,"1.7",1358538333499
java.vendor,sysinfo,,,"Oracle Corporation",1358538333499
java.version,sysinfo,,,"1.7.0_07",1358538333499
java.vm.info,sysinfo,,,"mixed mode, sharing",1358538333499
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1358538333499
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358538333499
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1358538333499
java.vm.specification.version,sysinfo,,,"1.7",1358538333499
java.vm.vendor,sysinfo,,,"Oracle Corporation",1358538333499
java.vm.version,sysinfo,,,"23.3-b01",1358538333499
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1358538333514
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1358538334029
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1358538334107
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1358538334450
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1358538334575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358538335386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358538337040
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358538338159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358538625449
